id,userId,categoryId,content,link,color,font,pushpin,rotation,expiresAt,isApproved,isModerated,createdAt,updatedAt,imageUrl,isPublished,views
cmmi8fd050001w8i5sjrwtiut,cmmhv4lur0000w8z0r17p4hcz,cmmhv4m76000dw8z0uyxrcpjh,Deneme Eğitim,,PINK,SERIF,RED,-4.064837793171751,2026-03-16T00:00:00.000Z,true,true,2026-03-08T20:56:06.294Z,2026-03-16T00:01:50.743Z,/uploads/9423b8a3-500f-439c-a323-09d64f5bae1a-sld1.jpeg,false,0
cmmi9r02z0000w81ld9ovo3fd,cmmhv4lur0000w8z0r17p4hcz,cmmi9ns2p000fw8i5r8cf022t,"Projelerimiz hızla ilerliyor, emeklerinize sağlık.",,GREEN,SANS,GOLD,1.085248694408241,2026-03-15T21:33:09.033Z,true,true,2026-03-08T21:33:09.035Z,2026-03-15T21:34:23.546Z,,false,1
cmmi9r02z0001w81lsbwqzocx,cmmhv4lur0000w8z0r17p4hcz,cmmi9m7y5000cw8i5fwch41rs,Çevre temizliği kampanyasına hep birlikte destek olalım.,,ORANGE,SERIF,GOLD,-4.024573278072159,2026-04-03T21:33:09.033Z,true,true,2026-03-08T21:33:09.035Z,2026-03-08T21:33:09.035Z,,true,0
cmmi9r02z0002w81lamnf55lx,cmmhv4lur0000w8z0r17p4hcz,cmmi9ns2p000fw8i5r8cf022t,Yerel üreticilerden alışveriş yaparak ekonomimize katkı sağlayalım.,,ORANGE,CURSIVE,SILVER,3.355572067282711,2026-03-13T21:33:09.033Z,true,true,2026-03-08T21:33:09.035Z,2026-03-15T16:13:32.562Z,,false,2
cmmi9r02z0003w81lvp5p0y9p,cmmhv4lur0000w8z0r17p4hcz,cmmi9ns2p000fw8i5r8cf022t,Gençlik merkezinde bu akşam tiyatro gösterisi var.,,ORANGE,HANDWRITING,BLUE,-4.023696931076581,2026-04-05T21:33:09.033Z,true,true,2026-03-08T21:33:09.035Z,2026-03-13T03:24:38.240Z,,true,3
cmmi9r02z0004w81lxv1wgvjo,cmmhv4lur0000w8z0r17p4hcz,cmmi9ns2p000fw8i5r8cf022t,Bu hafta vizyona girecek filmler harika görünüyor.,,PURPLE,CURSIVE,GREEN,3.305127041152636,2026-04-04T21:33:09.033Z,true,true,2026-03-08T21:33:09.035Z,2026-03-08T21:33:09.035Z,,true,0
cmmi9r02z0005w81lpdzylj6g,cmmhv4lur0000w8z0r17p4hcz,cmmi9hgrq0009w8i59gfpxacc,Okuduğum bu harika kitabı mutlaka tavsiye ederim.,,GREEN,SANS,BLUE,0.3833303048015235,2026-04-04T21:33:09.033Z,true,true,2026-03-08T21:33:09.035Z,2026-03-08T21:33:09.035Z,,true,0
cmmi9r02z0006w81l53qovdlq,cmmhv4lur0000w8z0r17p4hcz,cmmhv4m76000dw8z0uyxrcpjh,Yaklaşan etkinlikler için gönüllüler aranıyor.,,GREEN,SANS,GREEN,-0.5786877327894002,2026-03-14T21:33:09.033Z,true,true,2026-03-08T21:33:09.035Z,2026-03-15T16:13:32.562Z,,false,1
cmmi9r02z0007w81l4ywu8649,cmmhv4lur0000w8z0r17p4hcz,cmmhv4m76000dw8z0uyxrcpjh,Yeni açılan kütüphaneyi gören oldu mu?,,YELLOW,MONO,SILVER,-1.304780968658534,2026-03-13T21:33:09.033Z,true,true,2026-03-08T21:33:09.035Z,2026-03-15T16:13:32.562Z,,false,0
cmmi9r02z0008w81l866xq1ib,cmmhv4lur0000w8z0r17p4hcz,cmmn3ril30001w8hw4kvzt44v,Çevre temizliği kampanyasına hep birlikte destek olalım.,,YELLOW,MONO,RED,-3.334757505857715,2026-03-19T21:33:09.033Z,true,true,2026-03-08T21:33:09.035Z,2026-03-12T08:17:55.189Z,,true,0
cmmi9r02z0009w81lcu93269i,cmmhv4lur0000w8z0r17p4hcz,cmmi9m7y5000cw8i5fwch41rs,"Bugün hava çok güzel, sahilde yürüyüş yapmayı planlıyorum.",,GREEN,SERIF,SILVER,-1.066558514388671,2026-03-28T21:33:09.033Z,true,true,2026-03-08T21:33:09.035Z,2026-03-08T21:33:09.035Z,,true,0
cmmi9r034000aw81legflsnxh,cmmhv4lv20001w8z02d86bvb4,cmmi9ns2p000fw8i5r8cf022t,Yerel üreticilerden alışveriş yaparak ekonomimize katkı sağlayalım.,,YELLOW,SANS,SILVER,0.8250702371315359,2026-03-17T21:33:09.040Z,true,true,2026-03-08T21:33:09.041Z,2026-03-17T21:39:19.349Z,,false,0
cmmi9r034000bw81loiziz10k,cmmhv4lv20001w8z02d86bvb4,cmmi9hgrq0009w8i59gfpxacc,Gençlik merkezinde bu akşam tiyatro gösterisi var.,,BLUE,MONO,SILVER,-4.161238653913315,2026-03-09T21:33:09.040Z,true,true,2026-03-08T21:33:09.041Z,2026-03-10T23:28:44.192Z,,false,0
cmmi9r034000cw81laaxr9e62,cmmhv4lv20001w8z02d86bvb4,cmmhv4m76000dw8z0uyxrcpjh,Yeni açılan kütüphaneyi gören oldu mu?,,BLUE,SERIF,GREEN,4.601682616012795,2026-03-29T21:33:09.040Z,true,true,2026-03-08T21:33:09.041Z,2026-03-08T21:33:09.041Z,,true,0
cmmi9r034000dw81l8waw7te6,cmmhv4lv20001w8z02d86bvb4,cmmi9m7y5000cw8i5fwch41rs,Yarınki konser etkinliğine gelecek arkadaşlarla buluşalım.,,PINK,CURSIVE,SILVER,-4.969600177804283,2026-03-21T21:33:09.040Z,true,true,2026-03-08T21:33:09.041Z,2026-03-08T21:33:09.041Z,,true,0
cmmi9r034000ew81lybgjjaeg,cmmhv4lv20001w8z02d86bvb4,cmmhv4m76000dw8z0uyxrcpjh,Çevre temizliği kampanyasına hep birlikte destek olalım.,,GREEN,SANS,BLUE,-4.284154016646989,2026-03-18T21:33:09.040Z,true,true,2026-03-08T21:33:09.041Z,2026-03-08T21:33:09.041Z,,true,0
cmmi9r034000fw81l9163kfq3,cmmhv4lv20001w8z02d86bvb4,cmmn3ril30001w8hw4kvzt44v,Bu hafta vizyona girecek filmler harika görünüyor.,,PURPLE,HANDWRITING,GOLD,-1.691659535804688,2026-03-20T21:33:09.040Z,true,true,2026-03-08T21:33:09.041Z,2026-03-12T08:17:55.189Z,,true,0
cmmi9r034000gw81laawl7l95,cmmhv4lv20001w8z02d86bvb4,cmmn3ril30001w8hw4kvzt44v,"Güzel bir gün umuduyla, herkese iyi çalışmalar dilerim.",,YELLOW,SANS,BLUE,4.864848557745418,2026-04-02T21:33:09.040Z,true,true,2026-03-08T21:33:09.041Z,2026-03-12T08:17:55.189Z,,true,0
cmmi9r035000hw81l7zrz19ma,cmmhv4lv20001w8z02d86bvb4,cmmi9m7y5000cw8i5fwch41rs,Yerel üreticilerden alışveriş yaparak ekonomimize katkı sağlayalım.,,PURPLE,CURSIVE,SILVER,3.12396159826735,2026-03-18T21:33:09.040Z,true,true,2026-03-08T21:33:09.041Z,2026-03-08T21:33:09.041Z,,true,0
cmmi9r035000iw81lbbd12ae0,cmmhv4lv20001w8z02d86bvb4,cmmi9hgrq0009w8i59gfpxacc,Okuduğum bu harika kitabı mutlaka tavsiye ederim.,,ORANGE,SANS,GREEN,-3.377128864838219,2026-03-26T21:33:09.040Z,true,true,2026-03-08T21:33:09.041Z,2026-03-08T21:33:09.041Z,,true,0
cmmi9r035000jw81lv6lsgm8m,cmmhv4lv20001w8z02d86bvb4,cmmi9m7y5000cw8i5fwch41rs,Gençlik merkezinde bu akşam tiyatro gösterisi var.,,YELLOW,CURSIVE,PINK,0.1628622073061337,2026-03-10T21:33:09.040Z,true,true,2026-03-08T21:33:09.041Z,2026-03-10T23:28:44.192Z,,false,0
cmmi9r039000kw81ls2rifadp,cmmhv4lxw0002w8z08sujksmd,cmmhv4m76000dw8z0uyxrcpjh,Gençlik merkezinde bu akşam tiyatro gösterisi var.,,YELLOW,CURSIVE,BLUE,-0.05794055023560496,2026-03-22T21:33:09.045Z,true,true,2026-03-08T21:33:09.046Z,2026-03-08T21:33:09.046Z,,true,0
cmmi9r03a000lw81lly54ui0b,cmmhv4lxw0002w8z08sujksmd,cmmi9m7y5000cw8i5fwch41rs,"Projelerimiz hızla ilerliyor, emeklerinize sağlık.",,BLUE,HANDWRITING,GOLD,-0.732191650082104,2026-03-17T21:33:09.045Z,true,true,2026-03-08T21:33:09.046Z,2026-03-17T21:39:19.349Z,,false,1
cmmi9r03a000mw81lhxcn5v3e,cmmhv4lxw0002w8z08sujksmd,cmmi9m7y5000cw8i5fwch41rs,Şehrimizin tarihi mekanlarını keşfetmek için harika bir hafta sonu.,,YELLOW,HANDWRITING,GOLD,-0.1210164742786972,2026-03-30T21:33:09.045Z,true,true,2026-03-08T21:33:09.046Z,2026-03-08T21:33:09.046Z,,true,0
cmmi9r03a000nw81lw9csxsw4,cmmhv4lxw0002w8z08sujksmd,cmmi9m7y5000cw8i5fwch41rs,Yerel üreticilerden alışveriş yaparak ekonomimize katkı sağlayalım.,,YELLOW,SANS,GOLD,-0.7900161870829141,2026-03-09T21:33:09.045Z,true,true,2026-03-08T21:33:09.046Z,2026-03-10T23:28:44.192Z,,false,0
