id,name,cityId,createdAt,updatedAt
"cmmi8ip2v0002w8in4b3pt10h","Aladağ","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.911Z","2026-03-08T20:58:41.911Z"
"cmmi8ip2z0004w8in8a90bat0","Ceyhan","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.915Z","2026-03-08T20:58:41.915Z"
"cmmi8ip320006w8in8dwikozg","Çukurova","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.919Z","2026-03-08T20:58:41.919Z"
"cmmi8ip370008w8inzdj0xcxp","Feke","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.923Z","2026-03-08T20:58:41.923Z"
"cmmi8ip3a000aw8inc7w5gdr5","İmamoğlu","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.927Z","2026-03-08T20:58:41.927Z"
"cmmi8ip3e000cw8inw65nnshm","Karaisalı","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.930Z","2026-03-08T20:58:41.930Z"
"cmmi8ip3i000ew8inlx26mvty","Karataş","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.934Z","2026-03-08T20:58:41.934Z"
"cmmi8ip3l000gw8iny4m4iyk4","Kozan","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.938Z","2026-03-08T20:58:41.938Z"
"cmmi8ip3p000iw8inuxr8vlmj","Pozantı","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.941Z","2026-03-08T20:58:41.941Z"
"cmmi8ip3s000kw8invkls99jk","Saimbeyli","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.945Z","2026-03-08T20:58:41.945Z"
"cmmi8ip3w000mw8inr1gpfb9a","Sarıçam","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.949Z","2026-03-08T20:58:41.949Z"
"cmmi8ip3z000ow8intkucg0p2","Seyhan","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.952Z","2026-03-08T20:58:41.952Z"
"cmmi8ip43000qw8in8pwr2gwd","Tufanbeyli","cmmi8ip2m0000w8inp87jwwm8","2026-03-08T20:58:41.956Z","2026-03-08T20:58:41.956Z"
