id,url,postItId,createdAt
0e51ee2e-3c25-4a1d-b81c-44f29df01373,/uploads/adfaa36e-1dd4-441b-8873-2257989f8bc2-izmir3.webp,cmmi9r03u001qw81lhmuxw4ye,2026-03-12T08:39:33.579Z
4367242d-5645-4f08-a30f-f9938c003cb6,/uploads/2c1d9b66-41ac-4c42-878e-836e9409deb0-panosehir3.png,cmmn7ya0l0001w8zedgjrm6hp,2026-03-12T08:41:40.150Z
7308413f-d969-4dcf-a93c-5c47b8e67049,/uploads/9423b8a3-500f-439c-a323-09d64f5bae1a-sld1.jpeg,cmmi8fd050001w8i5sjrwtiut,2026-03-08T20:56:06.294Z
74c8fa4c-7af7-4a31-8a3f-83c4fd04fdc4,/uploads/4dbb5db0-3b09-45dd-b3db-f8ab1d737bfe-sld2.jpeg,cmmn5zsep0001w8yj32i2gze4,2026-03-12T07:46:51.410Z
7cc4dfa2-c545-491e-87a8-bf9f540c2a49,/uploads/20681ff1-6ce2-4566-bcd6-55c852bb2564-izmir5.webp,cmmi9r03u001qw81lhmuxw4ye,2026-03-12T08:39:33.579Z
8849aa44-f857-4223-8560-2fda45b724f6,/uploads/4fce78bd-c4f3-45f6-9b0f-930191d4aff2-sld3.jpeg,cmmi8fd050001w8i5sjrwtiut,2026-03-08T20:56:06.294Z
9cab758f-122e-4c51-bfcb-c8ddb0999f36,/uploads/6c60d8ad-b8b3-4b5b-9f5e-c6438bc9a56a-anasayfaarabanner3.png,cmmn5zsep0001w8yj32i2gze4,2026-03-12T07:46:51.410Z
abead42c-7a8f-4cf6-b1ac-b3c1dc6b2148,/uploads/46304031-be6b-423e-b00c-70c564a5087e-panosehir2.png,cmmn7ya0l0001w8zedgjrm6hp,2026-03-12T08:41:40.150Z
aea9501b-20c5-439d-aa87-72119575ce30,/uploads/cc65e8dd-4591-4d41-83c3-e1f40a49c90d-sld2.jpeg,cmmi8fd050001w8i5sjrwtiut,2026-03-08T20:56:06.294Z
bbb7fe89-9b34-4048-89a9-2c428c40ee41,/uploads/e3bcb6c9-51f2-4bee-bba0-0e6e9d8262db-sehirzeminizmir2.jpeg,cmmi9r03o001kw81lsjv4kt0f,2026-03-12T08:41:08.384Z
c60fabc0-bd1e-4ffe-a4a5-ca685039e397,/uploads/a2264409-06cd-4f99-b7f4-fda7670b8df9-bulki.svg,cmmi9r03u001qw81lhmuxw4ye,2026-03-12T08:39:33.579Z
ec17c305-9df5-425e-b63c-9ab784e5a9fc,/uploads/aee69198-b25f-47c9-ae01-313952ff3c9a-sehirzeminizmir1.jpeg,cmmi9r03o001kw81lsjv4kt0f,2026-03-12T08:41:08.384Z
fded1744-825c-4f27-980e-b43d7017756b,/uploads/1aad9aa8-f115-4ce3-90c9-9ea78f1def32-sld1.jpeg,cmmn5zsep0001w8yj32i2gze4,2026-03-12T07:46:51.410Z
